Original row	rang	immuno_gene	Significance	fdr	NASH_gene	Score (d)	Numerator (r)	Denominator (s+s0)	Fold Change	Healthy Obese1	Healthy Obese2	Healthy Obese3	Healthy Obese4	Healthy Obese5	Healthy Obese6	Healthy Obese7	Healthy Obese8	Healthy Obese9	Healthy Obese10	Healthy Obese11	Healthy Obese12	Healthy Obese13	Healthy Obese14	Healthy Obese15	Healthy Obese16	Healthy Obese17	Healthy Obese18	Healthy Obese19	Healthy Obese20	Healthy Obese21	Healthy Obese22	Healthy Obese23	Healthy Obese24	NASH1	NASH2	NASH3	NASH4	NASH5	NASH6	NASH7	NASH8	NASH9	NASH10	NASH11	NASH12	NASH13	NASH14	NASH15	NASH16	NASH17	NASH18	NASH19	NASH20	NASH21	NASH22	NASH23	NASH24
234	340	MYC	2.113184e-02	0.048168154	MYC	1.7465996	0.56190395	0.3217131	1,7625458	5.355755	9.136055	6.88415	6.6240425	5.0751	5.7475376	7.154718	6.2400317	6.689767	6.4422984	6.382502	5.762188	5.546612	5.704037	6.1180577	5.3727145	6.780262	5.849622	5.192499	5.6789117	7.4863806	6.15605	6.074518	5.9598684	8.079	9.888304	8.696477	5.672862	9.198453	5.865275	6.471899	6.738861	6.556168	8.041314	5.5332513	6.2658243	6.3644676	6.727316	6.826185	6.5273733	5.776522	6.625304	7.6205063	5.733222	5.9467525	5.523098	5.8219852	6.3989706
106	188	CXCR1	5.466101e-03	0.022533131	CXCR1	1.59159	0.428226	0.26905546	1,734017	3.689264	6.0670815	3.9806154	4.6253686	3.8051684	4.5579767	4.8520823	3.9608562	3.8604338	4.8311644	4.099741	3.783105	3.8920274	3.815009	4.3125243	4.105406	4.7933598	3.1714032	4.0307984	4.292821	4.002442	3.739923	3.7599404	4.00082	3.984034	6.716021	6.4869246	4.3364143	5.4683213	4.373011	3.7823455	3.04837	3.8376732	7.521956	4.245713	3.3656323	4.9353695	4.098544	3.5532918	5.340815	4.1821966	4.463962	4.2890277	4.0937557	3.6367679	4.56449	4.9532876	5.0288577
105	85	CXCL9	1.229325e-03	0.011123269	CXCL9	3.0675216	0.70636415	0.23027195	1,6728795	4.4030857	5.9360385	5.3536763	6.6007757	4.7629204	5.2423177	5.1936393	4.67185	5.560126	5.23593	4.869524	5.039816	4.693354	5.321542	6.0624795	7.0331254	4.707223	5.487565	5.9846287	6.8658442	5.7768016	6.1714697	5.1611266	4.7778606	5.068901	5.7734227	5.0310297	6.199015	6.2530403	5.842608	5.5977173	5.3659887	6.382388	5.980394	7.015176	6.3904104	6.1824865	5.971954	8.45422	6.97727	6.6824026	6.14909	6.634958	6.1425514	5.4170856	5.419817	5.9789896	6.954533
195	23	ITGAX	1.798391e-04	0.006059797	ITGAX	3.930587	0.68267155	0.17368183	1,643819	5.5297003	7.2723923	5.5990767	6.3251624	5.215386	5.5295897	6.0112004	5.8714056	5.774729	5.7397356	5.978024	5.1541824	5.7150884	6.112905	6.301851	6.463771	5.815841	6.106363	6.3420544	6.2613473	6.6127663	5.599197	5.4234095	5.713002	6.3911023	7.6989474	6.29868	5.9643264	7.7960944	7.0369787	5.7906804	5.637879	6.8176265	7.365944	6.0451145	6.2744894	6.4742794	6.3816442	6.863724	7.069992	5.8016877	6.7868843	7.104182	6.21098	6.3346415	7.123512	7.022518	6.560393
109	103	CXCR4	1.698437e-03	0.012779501	CXCR4	1.8041233	0.49892712	0.27654824	1,5454043	5.3552814	6.215649	5.298916	5.641942	4.7690654	5.5491443	5.4471183	5.2220926	6.2082167	6.4011235	6.216758	4.991301	4.7882543	4.8961926	6.2818313	5.4515243	7.5048356	4.8500323	6.1459723	5.719358	7.3885975	6.304586	5.93363	4.902715	4.510514	7.9698477	7.641649	4.8690624	6.5480638	5.704699	6.170227	5.26124	5.779117	7.43679	5.0645227	5.39124	6.2711225	5.5410337	7.1541877	7.9152703	5.4971395	5.8642354	7.198526	5.172542	6.51186	6.143282	6.3569813	7.4852467
277	75	SELL	9.849823e-04	0.009852261	SELL	2.0344636	0.49106646	0.24137391	1,5161234	4.3548284	6.592872	5.240946	6.3666363	4.1362553	4.8476014	5.94193	5.3149567	5.331407	5.8866034	4.5065784	4.4312987	5.144852	4.910257	6.0460196	5.3544297	5.565803	4.4661217	6.0513496	5.8804126	6.1593304	5.816874	5.215682	4.897246	4.697216	6.541611	6.7558265	5.74044	4.8017645	4.693767	5.757647	4.9796243	5.453668	8.00635	6.07774	4.6771774	7.080663	5.26516	6.134255	7.024428	5.8540263	5.390453	5.8777514	5.1979647	5.7394605	5.972827	6.300969	6.225078
200	114	JUN	2.070576e-03	0.013908992	JUN	1.5751414	0.49919224	0.316919	1,4914304	8.01946	9.524151	8.409313	9.118293	7.7678843	8.738538	10.635866	7.7645874	7.5038857	8.554916	9.767523	7.6077847	7.0761676	8.025396	7.9568615	7.2583146	8.7735	7.3875237	7.9516134	6.4456797	8.82423	7.1387854	7.646799	7.1531944	8.71788	10.905554	10.506389	7.5925503	9.837262	8.081219	7.9890995	7.1804442	7.9995337	10.885261	7.36864	7.9931946	8.498742	9.133794	7.925714	9.281813	7.09827	8.736374	8.730519	7.2538896	8.698905	8.928098	8.869738	8.818029
184	112	IL7R	2.059158e-03	0.013908992	IL7R	2.4375842	0.5915756	0.24268931	1,4913762	4.5758643	6.2389874	5.2497706	5.9659514	4.8207493	5.0229654	5.226987	5.1242814	7.481513	7.381212	5.740201	5.556949	5.7981896	5.040691	5.7888956	5.546973	5.2321377	4.9280148	5.5248337	6.068113	6.974661	5.953023	5.0483775	6.1685348	4.79798	6.8713074	6.104341	5.4016767	6.1902905	6.5030494	6.149228	7.053622	5.55143	6.8960214	6.14401	6.2660522	6.221877	6.5843534	7.9877157	7.6673255	5.596189	4.9996877	7.120537	6.1317596	6.7462177	5.5500746	6.631225	5.4897227
309	205	TNFAIP3	6.359034e-03	0.023846399	TNFAIP3	1.7522238	0.40956688	0.23374118	1,4896852	6.8757405	8.436061	6.5638137	7.1043468	6.477009	6.479342	8.551794	6.8206286	7.096244	7.9035807	8.236482	6.2427664	6.7380342	7.5175757	7.565296	7.087609	7.5274553	6.8658104	7.039617	7.4214664	7.9666514	7.325305	6.9925046	6.5847754	7.020375	10.068936	7.852088	6.707198	9.562524	7.2597804	7.1859465	7.3531184	7.320208	8.824779	7.118012	7.1577644	7.522343	7.374615	7.603345	8.186287	6.7613626	8.090503	7.509898	6.732354	7.1813393	7.4209485	7.3010387	8.134738
19	149	C5AR1	3.032393e-03	0.015675049	C5AR1	1.7730277	0.47252226	0.26650587	1,484837	5.0136623	7.351782	4.769082	5.4438286	4.4500065	5.6068645	5.9303803	5.325369	4.596135	5.949773	5.827512	4.848286	5.022515	4.614462	5.2466416	5.572735	7.0634656	5.131099	5.330507	5.0276766	6.5273166	5.0130205	4.941576	5.091562	5.3235507	7.526792	6.8432517	4.818581	6.8836894	5.6671214	4.825046	4.1502447	5.4162827	7.6963415	5.04598	5.4628754	5.991612	5.2356863	6.236323	6.390186	4.5396376	6.337342	6.851748	5.2326703	5.698409	5.648089	5.786763	7.4275594
29	78	CCL3	1.004293e-03	0.009852261	CCL3	1.6659607	0.3776493	0.22668561	1,4222105	5.628186	7.4101367	5.3564477	6.051876	5.7930837	6.010368	5.805035	4.6749496	5.2573686	6.082735	6.1858425	5.6048484	5.1549315	5.1501803	5.690267	5.4829926	5.8680143	5.667241	5.1593738	5.1884875	4.9364443	4.633548	4.775174	5.6482735	5.265495	6.8478646	6.19226	5.2788506	6.8021846	6.1619916	4.9498243	4.181716	6.0107045	8.374771	5.7173314	5.0496073	5.8260746	5.810981	5.6813884	5.721766	5.7275777	6.9284143	5.716662	5.2803826	5.7156496	6.235299	6.396476	6.406122
47	170	CD2	4.274706e-03	0.019305536	CD2	3.1168666	0.44686604	0.14337029	1,4163454	4.118667	4.730048	4.290529	4.957426	4.710889	4.180011	4.4479723	4.1582913	5.2097826	5.1181545	4.5750885	4.665356	4.7769923	4.284775	5.056501	5.1975775	4.101271	4.506716	4.7928944	4.946677	4.699084	5.004479	4.3987694	4.9372916	4.8256283	5.0580616	4.445787	4.4348044	4.518037	5.244416	4.948281	5.446784	5.4991198	4.6401186	5.024789	5.2744293	4.91495	5.9105806	6.694506	5.331818	5.1383924	5.392196	5.4743404	4.699973	4.8158245	4.973274	4.9381027	4.945813
76	53	CD83	5.724657e-04	0.008318999	CD83	2.1596267	0.475595	0.22022092	1,4130772	4.9414797	7.430084	5.3104305	5.474446	5.059243	5.2047234	6.372917	5.361202	5.239055	6.1910253	5.631753	4.746363	5.644139	5.570945	6.392478	4.9168587	5.8757424	5.266787	6.1629725	5.713183	6.932233	4.959895	4.932547	5.4065986	5.3266344	7.9879804	5.6895432	5.460758	6.8414187	5.821554	5.198837	5.1942387	5.888964	7.5580425	5.654807	5.530291	6.467109	5.7414727	6.1401854	6.6613436	5.528553	6.6798077	6.598421	5.522301	5.6503434	6.2775545	6.3009553	6.4302883
175	109	IL2RG	1.946185e-03	0.013837556	IL2RG	3.268014	0.48009396	0.14690694	1,3767148	6.1693296	7.0530653	6.0456185	7.4299107	6.1460404	6.26629	6.59787	6.098922	7.099221	7.245836	5.9625425	6.164975	6.422537	6.63646	6.8912807	7.4471493	6.169473	6.563985	6.742602	7.2902055	7.0158024	6.78694	6.0909457	6.5731473	6.2703905	7.11589	6.5517364	6.6927176	6.7855544	7.115489	6.8332863	6.683356	7.2492056	7.638601	7.019963	6.9676514	7.0262914	7.7126226	8.1186	7.257485	7.114343	7.259508	7.582217	6.7242236	6.8697805	7.1615295	7.340045	7.3419237
231	276	MSR1	1.186921e-02	0.033299779	MSR1	1.9565747	0.48064613	0.24565694	1,3624877	4.501621	6.910958	5.5092964	6.992388	4.8601103	4.9737253	6.328185	5.8131647	5.220844	6.570181	5.1582747	4.4817233	5.669375	5.5090494	6.801902	5.7826133	6.8892307	5.4938087	6.453444	7.053808	7.1117086	6.351452	5.7924285	5.907141	5.146241	5.6841545	6.240426	6.7766514	5.425299	5.9211116	5.856839	5.0054383	6.1282587	7.2375054	6.7663703	6.3232937	7.684662	5.162792	6.8512864	6.6320276	6.484704	6.695156	6.9302006	6.600731	6.9230895	7.1114073	6.362545	7.721739
134	334	GPNMB	1.999727e-02	0.046400841	GPNMB	2.5373874	0.63230324	0.2491946	1,348573	6.466181	9.436044	7.131522	9.499864	6.775643	7.1223693	7.897832	7.987847	7.76058	8.387085	7.607163	6.4765162	7.955154	5.6154504	8.69406	7.484905	8.594493	7.7281523	9.056103	8.685734	9.1819315	8.252036	8.25319	8.500662	7.289007	7.8275666	8.198682	8.760058	7.7866855	8.7770815	8.461267	7.671038	8.985104	8.286804	8.077025	8.815314	9.138265	8.339551	9.237795	8.802635	8.796311	8.8556385	8.607968	8.7095175	8.9827585	8.966559	8.812955	9.540181
123	193	FCGR2A	5.671352e-03	0.022773563	FCGR2A	2.0463948	0.46219683	0.22585906	1,3478937	4.396262	6.7176824	4.712646	7.0850997	4.803885	4.29069	6.1403503	5.6038847	5.3360667	5.7641106	4.879394	4.636103	5.524427	5.3448167	5.8126774	6.0422125	6.4413023	5.4859204	5.903867	6.4680805	6.4884152	5.6291437	5.41504	5.5278482	4.3062654	6.717916	6.329645	5.4643874	5.249949	5.3111024	5.838826	5.1297903	6.3693833	7.428178	6.576107	5.896744	6.811919	5.486071	6.6425714	6.5637245	5.920883	6.466084	6.5318356	5.865609	5.7099032	6.3105116	5.8132644	6.802007
119	87	FAS	1.254466e-03	0.011123269	FAS	2.9449399	0.39234877	0.13322811	1,3300458	6.7543073	6.759924	7.7665763	6.4568896	7.0700617	7.1597934	7.717332	6.957517	7.057654	6.941654	6.8824725	6.5755334	6.6071763	7.1466827	7.2452745	6.653465	7.2879477	6.4424863	7.107603	7.165074	7.6564016	7.0784807	7.058299	6.980588	6.760292	8.390613	7.6787524	7.075098	7.37078	6.652291	7.4566107	7.8586135	7.4197063	8.202099	7.1050506	7.6320367	7.397826	6.919547	7.7971992	7.866125	6.982792	7.3187246	7.3741937	7.3834424	7.1774616	6.9741435	7.718436	7.433746
71	40	CD69	3.848357e-04	0.007456191	CD69	1.7126114	0.38082314	0.22236401	1,3201059	3.6313162	4.0429645	4.0803275	4.4777536	3.2976584	4.3748584	4.268163	3.332216	5.028256	5.1973944	3.9869647	3.9800084	3.667201	3.8802102	5.392539	4.614917	4.008198	3.2350276	3.966903	4.6822085	5.870456	4.451543	3.6167085	3.822929	2.760806	6.4503894	4.9319253	3.5565848	4.112516	4.137297	5.1235666	4.462108	4.322121	5.5177164	4.0389256	4.0644207	4.7185254	4.858924	5.1248345	5.4198003	4.393998	4.838153	4.8812566	4.3398705	4.17851	4.09967	5.2816896	4.432876
211	171	LGALS3	4.279494e-03	0.019305536	LGALS3	3.0946653	0.4153371	0.13421066	1,3188947	5.0408163	6.131978	5.14377	5.5554886	5.1273437	5.1379232	5.2438693	5.421866	5.297363	5.1866145	4.6524158	4.6208024	5.3307514	4.986844	5.9037614	5.3225203	5.593048	5.4362803	5.5626755	6.0383844	6.227317	5.5678015	5.4277034	6.0972595	5.1229835	5.837842	5.5327134	5.891182	5.278977	5.583531	5.52872	6.882233	6.0339365	5.835194	5.55865	5.9977765	6.045371	5.9231772	5.9987555	6.005473	5.7105427	6.1272235	6.1949844	5.8859725	5.9506254	5.892217	6.0035863	5.2010293
8	197	ANXA5	5.999758e-03	0.023603109	ANXA5	3.0567205	0.44265556	0.14481388	1,317247	8.624612	9.522342	8.73669	9.810636	8.271955	8.802486	9.508432	9.423657	8.900279	9.282409	8.127565	9.602955	9.410372	8.609526	9.11893	9.444972	9.6941185	9.196774	10.017955	9.831462	9.074036	8.351181	8.89189	9.304255	9.265707	9.78	9.670782	9.639215	8.945136	9.295666	9.81522	9.554133	9.702715	9.4562025	9.574531	10.155442	9.47341	9.351506	9.728547	9.752712	9.052514	9.308295	9.647225	9.722026	9.825462	9.323965	9.594795	10.54802
194	22	ITGAM	1.796968e-04	0.006059797	ITGAM	3.3956623	0.39672613	0.11683321	1,3129107	5.114101	6.1327024	5.1174626	6.3253455	5.4317446	5.261514	5.2595854	5.226126	4.954577	5.843258	5.074447	5.404637	5.3253756	5.008499	5.454761	5.7185016	5.4792576	5.4283996	5.804162	5.5277605	5.2453794	5.051783	5.455676	5.4811487	5.253306	5.8901987	5.954439	5.4426565	5.8929725	5.904118	5.522532	5.5723066	6.052452	6.5365286	5.960611	5.508182	5.9009314	5.334396	5.893778	6.126411	5.613123	6.0256357	6.591001	5.7219424	5.367858	5.859159	5.87636	5.846721
74	11	CD80	1.076208e-04	0.006059797	CD80	2.003476	0.3424363	0.1709211	1,2961782	4.1051908	4.456427	3.9634855	4.5994844	4.138727	4.3892784	4.51158	4.2434497	4.0878787	4.6217446	4.332982	3.9329877	4.298969	4.548036	4.5435452	3.965402	5.1697373	4.1673603	4.3913674	5.126259	5.934799	3.965875	4.038842	4.082677	4.7286034	5.062801	4.5561614	4.3373733	4.6054983	4.29659	4.2321863	3.5171359	4.1881456	6.2297325	4.9450293	4.277192	5.6013875	4.38231	4.696743	4.9999557	4.172652	5.2347074	5.3066077	4.261073	5.071468	5.4015174	4.6574903	5.072188
21	110	CASP1	1.987282e-03	0.013908992	CASP1	2.3220723	0.36752748	0.15827565	1,2922351	5.011233	5.354999	5.1596575	5.966989	4.0527015	4.6994805	5.6193633	5.1857443	5.1429605	5.495648	4.5908713	4.523068	5.3174896	5.3249426	5.738502	5.6743774	5.2918057	5.496846	5.930473	6.067108	5.585151	5.566576	5.5516696	5.541993	4.608422	5.6731725	5.486927	5.8525405	4.695016	5.255689	5.8434024	5.4509377	5.0291862	6.3215923	6.02332	5.771686	5.901149	5.4974375	6.206618	6.0639415	5.5598392	5.5850368	5.680501	5.635606	5.4894137	6.3720927	6.320429	6.386346
6	322	ALOX5	1.745953e-02	0.042022172	ALOX5	2.667022	0.3701353	0.13878225	1,2819461	5.592577	7.120222	5.6291413	7.053094	5.645741	5.496424	5.9220014	5.797889	5.910394	6.3497963	5.8373537	5.9426603	6.0170507	5.7786264	6.453061	5.949255	5.926176	5.8435173	5.9687996	6.4358	6.512398	5.8522434	5.775945	5.6576996	6.017149	6.829434	6.5708723	6.2761145	6.3619585	6.280129	5.9228115	5.992277	6.4743414	7.3765445	6.6612124	5.759055	6.2654305	5.845411	6.9652343	6.8772306	6.0580826	6.4690595	6.713539	6.019106	6.1303105	6.131705	6.689976	6.6641483
66	256	CD53	9.959012e-03	0.030064287	CD53	1.9751414	0.4077816	0.20645691	1,2797059	6.4258494	8.854719	7.1527977	8.956442	7.0166926	7.0305395	8.131885	7.679301	7.945115	8.453093	7.0213737	7.351427	8.109014	6.849307	8.344237	8.085173	8.244742	7.2674475	8.304039	8.739446	8.6069	8.011243	7.4695535	7.9578533	6.2935047	8.348342	8.184074	8.064457	7.5393677	7.7878256	7.932551	7.4447155	8.113319	8.945074	8.464034	7.8872027	8.627056	7.8837557	9.06764	8.742068	8.349692	8.531969	8.844034	8.273894	8.398275	8.804111	8.621511	8.646502
174	163	IL2RB	3.865656e-03	0.018317084	IL2RB	1.7254193	0.3344326	0.19382685	1,2732446	6.175845	5.977639	5.229362	6.5407763	6.109417	6.56242	5.9475865	5.919921	6.029495	6.666652	5.728602	5.832929	6.3220096	6.3047214	6.7012105	5.7794285	5.042034	5.360838	6.8409925	7.113418	5.6446004	6.1537304	4.65587	6.0904446	6.125519	5.288944	5.2028065	6.6594806	5.0968714	6.823693	6.024798	5.559481	6.1956563	7.011004	6.5789785	6.2480426	7.100868	5.6915455	6.250919	6.8161597	6.9287815	7.0486054	6.284351	6.369567	6.4988437	7.1228485	7.225436	6.6031265
100	138	CXCL11	2.626754e-03	0.014751696	CXCL11	2.4765294	0.29695487	0.11990767	1,2689681	3.1501849	3.7114422	3.6661003	3.634745	3.128562	3.4138634	3.6111717	3.4183335	3.785096	3.2309027	3.4532309	3.225344	3.2537131	3.815856	3.9753208	3.3788052	3.4336333	3.1147225	3.4689665	3.6063225	4.0290594	3.3126962	3.2010787	3.3771763	3.269842	3.648618	3.368861	3.6055362	3.8896108	3.4891932	3.323833	3.4519935	3.5939434	4.193218	3.7854316	3.4386828	4.376071	3.8421483	5.2231336	4.0513554	3.4534779	3.997363	4.083185	3.7000055	3.607535	3.7008495	3.8368871	3.592482
263	50	PTPRC	5.495091e-04	0.008318999	PTPRC	1.7985693	0.36290312	0.20177321	1,2643124	5.7798734	7.43442	6.892176	7.9901857	6.0246153	6.5999517	7.4703074	6.806762	7.2904053	7.6045713	6.1267085	6.324519	7.2174864	7.296757	7.7720284	6.989333	7.0702662	6.7132015	7.8341074	8.308936	7.96938	7.556319	6.6258907	6.900216	6.104566	7.9043446	7.34211	7.412181	6.3962812	6.880666	7.2064056	6.674566	7.1624885	8.391179	7.788643	7.1699758	8.34941	7.0787315	8.102818	7.9963374	7.756928	7.481809	8.320835	7.220848	7.4392223	7.8516264	8.037402	7.23873
242	258	NFKB2	1.011078e-02	0.030361282	NFKB2	1.6019635	0.26296997	0.16415478	1,2634407	6.7595544	7.2723923	6.062794	6.255535	6.478051	6.500225	6.6352096	5.920378	5.9430985	6.5631967	7.20878	5.863095	6.1585536	6.508531	6.1121016	6.311174	5.7197747	6.5372257	6.188377	6.1987734	6.4483676	5.576331	6.0570965	6.278395	7.7352433	8.163352	6.1292048	6.0271745	7.7410145	6.6573687	5.8718224	6.1966376	6.7873497	6.652522	6.2825	6.5345616	6.4309382	6.88839	6.336098	6.506099	6.0081997	6.9293623	6.4658184	5.951251	6.399018	6.174762	6.372116	6.6274805
117	121	ENTPD1	2.248900e-03	0.014404114	ENTPD1	2.3036876	0.38496828	0.1671096	1,2597958	5.119793	6.7404375	5.8729014	7.2831535	5.7444463	5.2756453	6.4291763	6.3952937	6.3059425	6.135592	5.21668	5.383245	6.6321254	5.4258447	6.640468	6.1274	6.418586	6.0824184	6.4430103	7.151969	6.602534	5.937718	6.481317	6.408559	5.6058755	6.8804693	6.513322	6.6209154	5.631397	5.9806395	6.4415154	7.377199	6.559722	6.9026856	6.221463	6.4198956	6.6835103	6.168653	6.7246695	7.1215143	6.3325706	6.7795105	6.768108	6.5987663	6.6280093	6.6153	6.738457	7.1793222
